current_date.year,current_date.month,cycle,machine_time,runTime,totalNFlows,totalCFlows,TT,CThroughflow
2020,12,1442,1687199574552.0,0.0,4001.7734460902816,234517.86364206398,1122.0335103017467,10886.239885345758
2021,1,2930,1687199602457.0,0.0,11841.417993323745,606128.2840231584,3321.8142514073566,28792.594952531508
2021,2,4418,1687199628097.0,0.0,22759.395405857707,1110878.5908631699,6522.78769799307,50434.20010651726
2021,3,5762,1687199669919.0,0.0,34770.78692827971,1739939.8770188203,10573.835573674873,73303.34705092305
2021,4,7250,1687199728536.0,0.0,47984.06586795202,2489492.7013090714,15557.785665434845,97103.58928736889
2021,5,8690,1687199796513.0,0.0,64176.68429271015,3362152.8370283735,22971.41506145838,128264.8705515047
2021,6,10178,1687199910292.0,0.0,81848.32543959736,4353114.065726149,31715.820991850585,165974.22941455964
2021,7,11618,1687200081681.0,0.0,275461.34051268885,5489592.687192217,119057.81588691057,210181.60566981838
2021,8,13106,1687200091912.0,0.0,500997.1747861968,6964138.675114126,238312.5702965716,255606.06498877713
2021,9,14594,1687200100340.0,0.0,758456.5121926266,8773652.496020226,389480.7345337595,302299.0278992858
2021,10,16034,1687200108121.0,0.0,1047791.3915790588,10914865.677517045,572515.5270009495,349438.9908097944
2021,11,17522,1687200117465.0,0.0,1396773.318275913,13991147.318618095,813946.0059035621,991800.2086308626
2021,12,18962,1687200137320.0,0.0,1750084.6756251196,17167633.233948726,1056356.6260762792,1637684.436012831
2022,1,20450,1687200168443.0,0.0,2107864.106519133,20444466.990473464,1300009.2417843607,2302514.353793548
2022,2,21938,1687200199773.0,0.0,2470650.096521972,23813237.20163818,1544892.063982758,2985664.099355038
2022,3,23282,1687200228189.0,0.0,2837453.148646226,27264639.60059913,1790868.8694285187,3682932.0865550903
2022,4,24770,1687200259430.0,0.0,3208712.4942406407,30787369.164885577,2038065.2683079503,4396995.212503712
2022,5,26210,1687200289661.0,0.0,3588679.5289214323,34389537.25545856,2289392.736343586,5133688.219884865
2022,6,27698,1687200320640.0,0.0,3973721.1671011383,38054330.60932461,2542333.2803032775,5891982.895829355
2022,7,29138,1687200361011.0,0.0,4542509.497092408,41877993.564693496,2874131.746670582,6671108.704194834
2022,8,30626,1687200368685.0,0.0,5144868.534837215,45906467.87280571,3239491.4552292824,7450812.867676164
2022,9,32114,1687200376433.0,0.0,5780796.307692452,50137699.452059075,3638410.5303040785,8231051.892380742
2022,10,33554,1687200384268.0,0.0,6450262.127942283,54569482.732418254,4070858.6146365576,9011794.65119472
2022,11,35042,1687200393776.0,0.0,7171256.360467698,59579822.88154541,4553583.709146616,10161385.339929514
2022,12,36482,1687200423535.0,0.0,7896947.880808466,64654624.21255122,5037501.533875401,11332462.643012859
2023,1,37970,1687200454580.0,0.0,8627237.713630358,69762013.59172548,5522653.578185879,12525764.46549913
2023,2,39458,1687200485611.0,0.0,9362707.810189089,74878878.35185955,6009038.762192546,13741313.781850522
2023,3,40802,1687200513659.0,0.0,10102359.895899186,79979277.70785226,6496539.854408459,14976996.741996361
2023,4,42290,1687200544719.0,0.0,10846639.846798802,85031224.8843442,6985274.330059492,16234798.780327512
