current_date.year,current_date.month,cycle,machine_time,runTime,totalNFlows,totalCFlows,TT,CThroughflow
2020,12,1442,1687185165871.0,0.0,4001.0219924101625,234310.7006272853,1121.3189952917467,10770.857770945762
2021,1,2930,1687185193637.0,0.0,11837.514057681647,605660.2996246674,3318.1022187323565,28471.667434181527
2021,2,4418,1687185219125.0,0.0,22805.94186437795,1110270.8341402046,6518.778576305749,50010.35557108732
2021,3,5762,1687185258082.0,0.0,34971.59420358785,1739346.5520114158,10573.810443273867,72947.17097077314
2021,4,7250,1687185316440.0,0.0,48453.06157989758,2489047.0107747097,15565.528364910439,96959.49680426897
2021,5,8690,1687185392478.0,0.0,64956.953509480605,3361958.0888892855,22986.290623220735,128332.60000592466
2021,6,10178,1687185503588.0,0.0,82940.74898171445,4353141.037729902,31736.98530798469,166242.78488041006
2021,7,11618,1687185697742.0,0.0,276866.7949856349,5490262.322258208,119084.42196478104,210648.71139839446
2021,8,13106,1687185705754.0,0.0,502715.2069222716,6937633.699298216,238344.17398151557,256261.5101250288
2021,9,14594,1687185714151.0,0.0,760494.408581871,8692193.220508102,389524.2510662137,303482.252160863
2021,10,16034,1687185722034.0,0.0,1050153.141406458,10750834.672960725,572574.7363044736,351341.2738930971
2021,11,17522,1687185731476.0,0.0,1396396.3748935752,13647410.873697456,810958.3613302623,924994.0134996955
2021,12,18962,1687185753983.0,0.0,1747244.8111945605,16643261.988264704,1050492.8867041934,1516577.3289140044
2022,1,20450,1687185785050.0,0.0,2102622.152833744,19728612.000663966,1291239.5072567253,2125962.4337611543
2022,2,21938,1687185816085.0,0.0,2463064.8608478154,22892777.88540476,1533192.8263257258,2753229.6874585794
2022,3,23282,1687185844240.0,0.0,2827555.5158467516,26119443.744458087,1776235.7716033787,3396653.162600561
2022,4,24770,1687185875699.0,0.0,3196528.062378094,29392921.37388047,2020485.3130988851,4058149.7763949563
2022,5,26210,1687185906926.0,0.0,3574113.2417178503,32737178.05583478,2268847.6179110515,4741634.409316705
2022,6,27698,1687185937673.0,0.0,3956630.310288442,36140463.163829744,2518802.231859634,5445843.896238394
2022,7,29138,1687185976117.0,0.0,4522754.722927223,39703202.922471486,2847597.0579462773,6170125.282620261
2022,8,30626,1687185985624.0,0.0,5122447.3200901775,43535004.20494558,3209950.7738003097,6894906.550139729
2022,9,32114,1687185993529.0,0.0,5755710.3851546785,47633718.30346108,3605865.550556755,7620239.243308347
2022,10,33554,1687186001154.0,0.0,6422511.48291582,51997307.24397317,4035309.3693682053,8346053.752519764
2022,11,35042,1687186010727.0,0.0,7147958.8425966175,57160988.60089468,4522148.044370859,9598089.734482812
2022,12,36482,1687186040192.0,0.0,7878235.868438399,62388484.04426572,5010181.7562644845,10871628.73114383
2023,1,37970,1687186071205.0,0.0,8613240.547699377,67663387.67135088,5499454.125870507,12164791.880226463
2023,2,39458,1687186101763.0,0.0,9353445.135314312,72974558.0340517,5989951.183487579,13477398.8601173
2023,3,40802,1687186129816.0,0.0,10097690.452747598,78308358.22973482,6481541.122030992,14806309.870650608
2023,4,42290,1687186160550.0,0.0,10846418.64401627,83645014.0955933,6974349.791900609,16154250.9725549
2023,5,43730,1687186190620.0,0.0,11603769.633794043,88994875.80016708,7471290.912430801,17527158.83990113
2023,6,45218,1687186221894.0,0.0,12366061.617236469,94335179.86971699,7969840.128572837,18923651.75908632
2023,7,46658,1687186260898.0,0.0,13308672.180892104,99817297.26032907,8547242.41519286,20343001.366397243
2023,8,48146,1687186270593.0,0.0,14284938.312878046,105561759.09445389,9158290.949938407,21762863.09943022
2023,9,49634,1687186278724.0,0.0,15294860.304901464,111567235.81223607,9802986.010177406,23183243.34777409
2023,10,51074,1687186286700.0,0.0,16338407.195731916,117832341.92007138,10481296.978581803,24604105.41216076
2023,11,52562,1687186297044.0,0.0,17440711.12488218,124896142.0979186,11217113.403617794,26554509.333885644
2023,12,54002,1687186326165.0,0.0,18547465.940491278,131997164.81006122,11954115.93961486,28526169.31214198
2024,1,55490,1687186356392.0,0.0,19658581.932365723,139107214.37592596,12692345.637001771,30519799.57031067
2024,2,56978,1687186386519.0,0.0,20774711.763576925,146199978.08390465,13431804.17224032,32535512.163571507
2024,3,58370,1687186414857.0,0.0,21895174.21677611,153250364.95057723,14172417.936499763,34572032.67744083
2024,4,59858,1687186445020.0,0.0,23020267.222390395,160227217.500793,14914265.772477262,36630720.74820409
2024,5,61298,1687186474503.0,0.0,24154037.900867503,167147861.6649133,15660249.068227924,38716090.59041908
2024,6,62786,1687186504771.0,0.0,25292755.814913694,174001810.46440655,16407840.982645696,40826181.76781856
2024,7,64226,1687186542180.0,0.0,26610755.018723693,180978084.46979782,17234288.372466896,42960525.05846237
2024,8,65714,1687186551646.0,0.0,27963193.50788361,188207792.91488597,18095165.787831973,45095352.40476976
2024,9,67202,1687186559285.0,0.0,29350070.286975544,195690330.19419476,18990472.282254074,47230641.65107716
2024,10,68642,1687186567011.0,0.0,30771356.341792345,203424646.43310532,19920179.089719996,49366400.05304815
2024,11,70130,1687186576389.0,0.0,32254502.724511117,212009591.05997556,20910494.83566978,52090895.08405242
2024,12,71570,1687186605804.0,0.0,33742422.8291408,220616340.21511152,21902002.044639908,54836676.167654686
2025,1,73058,1687186636422.0,0.0,35235017.61939982,229214410.28683603,22894745.151872166,57604718.53855753
2025,2,74546,1687186666243.0,0.0,36732751.01194718,237779455.4308305,23888720.28493588,60394951.79531753
2025,3,75890,1687186693570.0,0.0,38234477.480531424,246291475.49525094,24883805.376503833,63205088.0425218
2025,4,77378,1687186723772.0,0.0,39740623.95784957,254717538.39111948,25880118.497910306,66037184.525712855
2025,5,78818,1687186753262.0,0.0,41255306.84307265,263045778.2903543,26880571.41568203,68897950.78814365
2025,6,80306,1687186783722.0,0.0,42774856.002640344,271243953.7199729,27882644.738624386,71786164.42009453
2025,7,81746,1687186822251.0,0.0,44477946.79024179,279549166.01703703,28963585.98394017,74700906.91568272
2025,8,83234,1687186831594.0,0.0,46217558.85260591,288077894.38064194,30081039.151016742,77616177.00607145
2025,9,84722,1687186839886.0,0.0,47993689.86721624,296830074.02368504,31235002.031503927,80531921.65683939
2025,10,86162,1687186847472.0,0.0,49806309.966650344,305805050.8023457,32425445.04811412,83448129.13308133
2025,11,87650,1687186856950.0,0.0,51680700.625637144,315544064.40463597,33676407.263402015,86895091.9006166
2025,12,89090,1687186886489.0,0.0,53559857.80157317,325288802.81132317,34928563.82040166,90363590.0004262
2026,1,90578,1687186916659.0,0.0,55443680.716847524,335007626.0204807,36181957.10338193,93854437.17368312
2026,2,92066,1687186946817.0,0.0,57332670.72053149,344679097.3070406,37436582.92965821,97367493.93789135
2026,3,93410,1687186974237.0,0.0,59225724.627536,354280861.4282871,38692321.14196099,100900562.48493618
2026,4,94898,1687187004303.0,0.0,61123276.55915731,363780252.73319453,39949289.69134236,104455676.51587977
2026,5,96338,1687187033910.0,0.0,63029499.56766689,373170212.1910898,41210401.52210406,108039620.09227708
