"","totalNflow","totalCflow","TT","CThroughflow","date"
"1",7839.40526617859,371503.135701875,2199.55322221811,17860.6900441186,2021-01-01
"2",355888.953549697,3140886.56107937,241664.813028955,626568.92597912,2022-01-01
"3",733302.147701589,5262470.60052621,488703.860202419,1279079.88235444,2023-01-01
"4",1108200.00974278,6978234.7229094,736497.742691197,1954794.07297992,2024-01-01
"5",1488896.46151939,8441856.7429139,990975.202956237,2730337.59695229,2025-01-01
"6",1878454.84336306,9477497.9327322,1250220.70393819,3421566.4012877,2026-01-01
"7",2266253.40557054,10472934.598602,1510939.77221168,4129350.42966289,2027-01-01
"8",2659154.53670304,11537322.5804676,1777767.06660434,4911680.5822157,2028-01-01
"9",3061162.91872251,12339808.3039108,2049393.90477533,5605951.40747434,2029-01-01
"10",3460932.52821287,13170429.4083225,2322134.4676118,6308795.58584354,2030-01-01
"11",3865222.01857145,14064982.0480662,2600187.10665964,7068360.04239772,2031-01-01
"12",4279408.81653938,14807322.4453945,2884152.74974397,7765391.56196812,2032-01-01
"13",10923.6459178196,504650.257172726,3201.24151438584,21604.3593626673,2021-02-01
"14",360858.818426699,3223330.86120423,242878.662922108,644480.746008598,2022-02-01
"15",738320.704381977,5291253.5320156,489927.951198989,1298847.7040956,2023-02-01
"16",1113174.5267382,6964337.72019815,737724.149156175,1976633.72415093,2024-02-01
"17",1493914.86339732,8407744.59231371,992203.880078695,2752398.46708731,2025-02-01
"18",1883456.93477568,9429008.29016936,1251449.03395627,3443616.23855184,2026-02-01
"19",2271251.35182556,10418148.9391801,1512167.84303093,4151385.32498612,2027-02-01
"20",2664142.75873869,11478660.6523669,1778994.85806358,4933704.39406665,2028-02-01
"21",3066191.23973963,12276753.8722901,2050622.79443764,5628016.89675316,2029-02-01
"22",3465919.97130645,13105265.6528294,2323362.30394111,6330822.39937833,2030-02-01
"23",3870237.12143252,13998684.6938074,2601415.56439512,7090404.18883725,2031-02-01
"24",4284399.94664712,14739219.5359743,2885380.6596768,7787420.26028806,2032-02-01
"25",12028.5042229667,628983.03026919,4052.17774947014,22870.0855533035,2021-03-01
"26",364893.880869919,3290827.43030622,243971.862150995,660202.13717555,2022-03-01
"27",742372.120854601,5303855.18503219,491033.360608919,1316489.93292843,2023-03-01
"28",1117353.28220867,6927205.60998567,738872.216767124,1996862.11715303,2024-03-01
"29",1497957.321607,8351297.97458939,993314.909600439,2772321.61240495,2025-03-01
"30",1887483.32035248,9359077.48081304,1252559.95658871,3463554.63010079,2026-03-01
"31",2275299.17231577,10341777.0680582,1513279.17209909,4171326.2709361,2027-03-01
"32",2668314.65984074,11395494.0956344,1780145.34178374,4954341.58219579,2028-03-01
"33",3070206.53616751,12192627.9562279,2051733.51712421,5647953.1240367,2029-03-01
"34",3469958.60755598,13019221.7271378,2324473.5257209,6350767.82097621,2030-03-01
"35",3874236.59502513,13911480.4766839,2602525.47733796,7110295.33529121,2031-03-01
"36",4288571.40622929,14646666.2635983,2886531.49602966,7808089.21520491,2032-03-01
"37",13242.9665736577,749506.808876254,4985.94337306395,23851.2681333806,2021-04-01
"38",369363.072848509,3345342.02696256,245183.902734206,677732.427124376,2022-04-01
"39",746858.258318517,5294567.34789657,492257.815904066,1336189.81152086,2023-04-01
"40",1121821.05450651,6859361.42573816,740100.247607451,2018556.58833966,2024-04-01
"41",1502431.90268664,8262246.40427961,994544.029387892,2794298.47307192,2025-04-01
"42",1891940.86272903,9255424.02750129,1253789.67687,3485609.54177986,2026-04-01
"43",2279779.99721906,10232243.7655089,1514508.91544862,4193346.8275624,2027-04-01
"44",2672773.62446189,11281188.9826912,1781374.54754874,4976350.50422159,2028-04-01
"45",3074651.66161557,12074926.4274336,2052962.88324532,5669995.7948345,2029-04-01
"46",3474429.67422607,12899277.1082029,2325703.54016443,6372828.13003614,2030-04-01
"47",3878664.53253123,13790729.431333,2603754.26092297,7132312.98588296,2031-04-01
"48",4293030.11905948,14522243.3791859,2887761.28810237,7830148.24050841,2032-04-01
"49",16267.3174685956,872671.529439536,7416.78711708988,31240.8878300038,2021-05-01
"50",377961.582112595,3417317.37645602,249307.199661619,700267.483910069,2022-05-01
"51",755491.33555,5298260.66991248,496392.320398435,1361436.40825168,2023-05-01
"52",1130470.68250526,6796640.63728352,744246.546165005,2046115.00087043,2024-05-01
"53",1511026.79021885,8166422.07687099,998683.544763569,2822837.08315132,2025-05-01
"54",1900574.73044833,9145605.48062118,1257931.23900343,3514301.54154396,2026-05-01
"55",2288390.0083072,10116932.7790094,1518648.78538986,4221944.74218195,2027-05-01
"56",2681384.84302749,11160923.8640363,1785523.73869115,5004978.1169265,2028-05-01
"57",3083272.06846833,11950706.8939186,2057104.51660263,5698752.61727971,2029-05-01
"58",3483059.3969635,12773026.9987187,2329845.18094584,6401582.3876118,2030-05-01
