,IF-FromMarket,IF-FromTranshu,IF-FromAtmo,Households,MobileHerds,FattenedAn,ORPHeaps,StrawPiles,HomeFields,BushFields,Rangelands,Millet,Groundnut,FallowVeg,SpontVeg,Weeds,Trees
TF-ToHouseholds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21748.0,7046.0,0.0,0.0,0.0,0.0
TF-ToMobileHerds,0.0,2396.1,0.0,0.0,0.0,0.0,0.0,0.0,275.0,513.0,486.0,0.0,0.0,0.0,0.0,0.0,0.0
TF-ToFattenedAn,33373.81509900015,0.0,0.0,0.0,0.0,0.0,0.0,285.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TF-ToORPHeaps,0.0,0.0,0.0,21691.0,0.0,655.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TF-ToStrawPiles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8576.0,0.0,7857.0,0.0,0.0,0.0
TF-ToHomeFields,0.0,0.0,3887.78287878794,0.0,253.0,0.0,6132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21568.0
TF-ToBushFields,0.0,0.0,35628.35782827866,0.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119936.0
TF-ToRangelands,0.0,0.0,2405.2519696969384,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12888.0
TF-ToMillet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42150.0,39608.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TF-ToGroundnut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45048.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TF-ToFallowVeget,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27645.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TF-ToSpontVeget,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14084.0,0.0,0.0,0.0,0.0,0.0,0.0
TF-ToWeeds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1826.0,78980.0,5094.0,0.0,0.0,0.0,0.0,0.0,0.0
TF-ToTrees,0.0,0.0,154392.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OF-SoldOnMarket,0.0,0.0,0.0,0.0,0.0,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OF-ToTranshu,0.0,0.0,0.0,0.0,2396.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OF-GHG,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,256.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OF-AtmoLosses,0.0,0.0,0.0,0.0,0.0,0.0,295.0,0.0,1695.0,18.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
