,IF-FromMarket,IF-FromTranshu,IF-FromAtmo,Households,MobileHerds,FattenedAn,ORPHeaps,StrawPiles,HomeFields,BushFields,Rangelands,Millet,Groundnut,FallowVeg,SpontVeg,Weeds,Trees
TF-ToHouseholds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.554739367387219,2.3776058519308085,0.0,0.0,0.0,0.0
TF-ToMobileHerds,0.0,0.3863665946225809,0.0,0.0,0.0,0.0,0.0,0.0,0.20593368145932206,0.38423935995028413,0.6568032409002393,0.0,0.0,0.0,0.0,0.0,0.0
TF-ToFattenedAn,0.21391042591090062,0.0,0.0,0.0,0.0,0.0,0.0,0.22027732096395147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TF-ToORPHeaps,0.0,0.0,0.0,0.18888107371895152,0.0,0.34527189379000767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TF-ToStrawPiles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6122962553671645,0.0,2.912957016928653,0.0,0.0,0.0
TF-ToHomeFields,0.0,0.0,0.0,0.0,0.3365024773858456,0.0,0.6600157993849324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TF-ToBushFields,0.0,0.0,0.0,0.0,0.11264792913623596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TF-ToRangelands,0.0,0.0,0.0,0.0,0.10886231967859769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TF-ToMillet,0.0,0.0,16.47229705886048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TF-ToGroundnut,0.0,0.0,2.377610796661435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TF-ToFallowVeget,0.0,0.0,4.545769610752588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TF-ToSpontVeget,0.0,0.0,2.978834208670341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TF-ToWeeds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TF-ToTrees,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OF-SoldOnMarket,0.0,0.0,0.0,0.0,0.0,0.19358703776950184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OF-ToTranshu,0.0,0.0,0.0,0.0,0.3863579120320817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OF-GHG,0.0,0.0,0.0,0.0,0.05449193797279304,0.06669966021462653,0.767141600963696,0.0,-1.457668023362713,32.1825600057858,4.132374756994132,0.0,0.0,0.0,0.0,0.0,0.0
OF-AtmoLosses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
