,IF-FromMarket,IF-FromTranshu,IF-FromAtmo,Households,MobileHerds,FattenedAn,ORPHeaps,StrawPiles,HomeFields,BushFields,Rangelands,Millet,Groundnut,FallowVeg,SpontVeg,Weeds,Trees
TF-ToHouseholds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.377657956351913,0.1223550653143084,0.0,0.0,0.0,0.0
TF-ToMobileHerds,0.0,0.04160871019012409,0.0,0.0,0.0,0.0,0.0,0.0,0.004775424774543686,0.008908337852148767,0.008439477965193568,0.0,0.0,0.0,0.0,0.0,0.0
TF-ToFattenedAn,0.5795423397992926,0.0,0.0,0.0,0.0,0.0,0.0,0.004949076584527093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TF-ToORPHeaps,0.0,0.0,0.0,0.3766681410350076,0.0,0.011374193553913142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TF-ToStrawPiles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14892379224176963,0.0,0.1364382271039627,0.0,0.0,0.0
TF-ToHomeFields,0.0,0.0,0.06751205337240254,0.0,0.004393390792580191,0.0,0.10648328988182502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3745322237722117
TF-ToBushFields,0.0,0.0,0.6186928823617068,0.0,0.0014065796608655947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0827103482169873
TF-ToRangelands,0.0,0.0,0.041767635800402755,0.0,0.00128502339387721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2238024527066146
TF-ToMillet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7319423790800594,0.6878000889822775,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TF-ToGroundnut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7822666736132508,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TF-ToFallowVeget,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48006042869912796,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TF-ToSpontVeget,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24457120918063008,0.0,0.0,0.0,0.0,0.0,0.0
TF-ToWeeds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031708820502970074,1.3715019952489464,0.08845823200554741,0.0,0.0,0.0,0.0,0.0,0.0
TF-ToTrees,0.0,0.0,2.6810450246958135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OF-SoldOnMarket,0.0,0.0,0.0,0.0,0.0,0.02083821719800881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OF-ToTranshu,0.0,0.0,0.0,0.0,0.04160697367202426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OF-GHG,0.0,0.0,0.0,0.0,0.0,0.0,1.0419108599004406E-4,0.0,0.004445486335575213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OF-AtmoLosses,0.0,0.0,0.0,0.0,0.0,0.0,0.005122728394510499,0.0,0.029433981792187446,3.1257325797013214E-4,2.6047771497511016E-4,0.0,0.0,0.0,0.0,0.0,0.0
