,IF-FromMarket,IF-FromTranshu,IF-FromAtmo,Households,MobileHerds,FattenedAn,ORPHeaps,StrawPiles,HomeFields,BushFields,Rangelands,Millet,Groundnut,FallowVeg,SpontVeg,Weeds,Trees
TF-ToHouseholds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10865.317668529715,3520.1870651306035,0.0,0.0,0.0,0.0
TF-ToMobileHerds,0.0,1197.0934185011977,0.0,0.0,0.0,0.0,0.0,0.0,137.39021329987455,256.2951979012205,242.805976959051,0.0,0.0,0.0,0.0,0.0,0.0
TF-ToFattenedAn,16673.583909389836,0.0,0.0,0.0,0.0,0.0,0.0,142.3862210562336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TF-ToORPHeaps,0.0,0.0,0.0,10836.840424318469,0.0,327.23850804151937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TF-ToStrawPiles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4284.576251853542,0.0,3925.3632941713245,0.0,0.0,0.0
TF-ToHomeFields,0.0,0.0,1942.3393417464558,0.0,126.39899623588458,0.0,3063.551956199384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10775.389528915252
TF-ToBushFields,0.0,0.0,17799.955205641672,0.0,40.4676628265085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59920.11862666819
TF-ToRangelands,0.0,0.0,1201.6657496603846,0.0,36.970457397057146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6438.854796395575
TF-ToMillet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21058.172693053497,19788.187521387023,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TF-ToGroundnut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22506.015740846356,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TF-ToFallowVeget,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13811.46344245466,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TF-ToSpontVeget,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7036.37732405612,0.0,0.0,0.0,0.0,0.0,0.0
TF-ToWeeds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,912.2710163111669,39458.46925972397,2544.9663510893124,0.0,0.0,0.0,0.0,0.0,0.0
TF-ToTrees,0.0,0.0,77134.36295197901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OF-SoldOnMarket,0.0,0.0,0.0,0.0,0.0,599.5209307630889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OF-ToTranshu,0.0,0.0,0.0,0.0,1197.043458423634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OF-GHG,0.0,0.0,0.0,0.0,0.0,0.0,2.9976046538154444,0.0,127.8977985627923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OF-AtmoLosses,0.0,0.0,0.0,0.0,0.0,0.0,147.3822288125927,0.0,846.8233147028631,8.992813961446334,7.494011634538611,0.0,0.0,0.0,0.0,0.0,0.0
