current_date.year,current_date.month,cycle,machine_time,runTime,meanHomefieldsSOCS,meanBushfieldsSOCS,meanRangelandSOCS,totalNFlows,totalCFlows,TT,CThroughflow
2020,12,1442,1688462061410.0,0.0,1760.3690661248008,1764.33012791453,2236.7056387838024,2697.4785345998284,250743.16462224067,1696.768781122179,9624.673855892888
2021,1,2930,1688462067361.0,0.0,1708.1199948620958,1711.9631624479791,2170.3176958197637,7952.524054278515,636973.2189715545,4990.8331110276,22229.95644088027
2021,2,4418,1688462072327.0,0.0,1657.387492061409,1661.1164312645192,2105.8574532969656,15472.249289386573,1153121.392499046,9848.017872010922,36354.78941152988
2021,3,5762,1688462077314.0,0.0,1608.1614613471772,1611.779615166693,2043.3113865775097,24438.52845393176,1793447.7324659918,16106.986484460558,51377.897984863
2021,4,7250,1688462082700.0,0.0,1560.3974786934145,1563.9081492545183,1982.6229961246754,35004.71953701029,2554307.2328963233,23916.301428481846,67316.61269442535
2021,5,8690,1688462088636.0,0.0,1514.251340906495,1517.4585134869674,1923.7371105923437,54690.50464807866,3437884.8192871213,39154.76637817539,88506.14536574898
2021,6,10178,1688462093951.0,0.0,1469.328511739387,1472.3884782879234,1866.6001946712447,77488.87675630026,4435955.8584455885,57117.6775707467,111287.87705986327
2021,7,11618,1688462100742.0,0.0,1425.7266785136426,1430.1680742288584,1813.1101490125934,278786.39114707493,5622300.115952506,155646.03756283186,135663.27625642467
2021,8,13106,1688462103333.0,0.0,1383.384343623613,1387.8247126435815,1759.4317959244433,513427.3181431987,7134549.412700704,287502.2669116123,165254.3806443583
2021,9,14594,1688462105909.0,0.0,1342.296470619154,1346.6060896042216,1707.1762949856407,781366.2061330264,8964905.393575601,452640.94032715267,198143.49696006428
2021,10,16034,1688462108061.0,0.0,1302.4289233483805,1306.6105575369031,1656.4714629254713,1082493.7820639014,11107730.937572189,650953.3265837403,231783.57327577026
2021,11,17522,1688462110568.0,0.0,1263.7454818976323,1267.8029174906974,1607.2726040937407,1439310.909618244,14044958.554345835,903881.3901937954,741246.2734917402
